,GNOMES observation,,,,,,,,,,,,,,,,,,,,,
#,Name,sname,nvss,src_cld,Cloud,V0plt,V0b,V1b,V1plt,glong,glat,ra50 (h),dec50 (o),RAJ2000,DEJ2000,S1.4 mJy,tsky_chipass,tsky_haslam,OK?,Notes,,
0,SRC1,4C +22.12,060351+215937,SRC1_R,R,-100,-50,50,80,188.06888,0.03901,6.01411,21.99667,06:03:51.56,21:59:37.50,2771.6,5.14678564453125,4.04807229326083,1,,,
1,SRC1,3C 138,052109+163822,SRC1_T,T,-100,-70,50,80,187.40518,-11.34306,5.30462,16.59082,05:21:09.93,16:38:22.20,8602.9,7.58776171875,4.09065397669562,1,,,Number of sightlines:
2,SRC2,3C 166,064524+212145,SRC2_R,R,-100,-90,60,80,193.12047,8.29552,6.70686,21.41585,06:45:24.08,21:21:45.70,2590,4.79767041015625,3.79258254072936,1,,,80
3,SRC2,4C +16.09,031857+162833,SRC2_T,T,-100,-80,60,80,166.63557,-33.59582,3.2692,16.29467,03:18:57.77,16:28:33.10,8027.9,6.93354052734375,3.68308683305095,1,,,
4,SRC3,4C +10.20,063215+102201,SRC3_R,R,-100,-90,70,80,201.53174,0.50831,6.49153,10.40446,06:32:15.34,10:22:01.10,2379.1,4.99879833984375,3.89295351908193,1,"ABS spectrum, saturated! Cannot do",,# of sightlines excluded:
5,SRC3,PKS 0531+19,053444+192721,SRC3_T,T,-100,-70,60,80,186.76185,-7.10739,5.52984,19.4236,05:34:44.51,19:27:21.70,7019.2,6.48265966796875,4.16669261423934,1,,,13
6,SRC4,3C 181,072810+143736,SRC4_R,R,-100,-80,70,80,203.75439,14.63035,7.42231,14.72948,07:28:10.26,14:37:36.00,2303.9,4.53466259765625,3.57967429759405,1,,,
7,SRC4,-,053239+073243,SRC4_T,T,-100,-80,60,80,196.84177,-13.73852,5.49903,7.51055,05:32:39.01,07:32:43.50,2728.7,4.95889794921875,3.8473303365557,1,,,# of sightlines used:
8,SRC5,3C 158,062141+143211,SRC5_R,R,-100,-80,70,80,196.64037,0.16768,6.31392,14.56112,06:21:41.09,14:32:11.90,2236.2,4.85888037109375,4.1514848867306,1,,,67
9,SRC5,3C 090,033626+130233,SRC5_T,T,-100,-60,60,80,173.1511,-33.29497,3.56123,12.87801,03:36:26.56,13:02:33.20,1990,4.67260595703125,3.51276027335042,1,,,
10,SRC6,4C +13.32,061857+133631,SRC6_R,R,-100,-90,60,80,197.14669,-0.85303,6.26878,13.63001,06:18:57.50,13:36:31.50,1955.8,4.8609892578125,4.09065397669562,1,,,
11,SRC6,-,053339+222103,SRC6_T,T,-100,-80,60,80,184.16363,-5.77368,5.51078,22.31721,05:33:39.79,22:21:03.20,1977.2,0,0,-1,Huge emission features in Absorption spectrum. The source may be too weak.,,
12,SRC7,3C 175.1,071404+143620,SRC7_R,R,-100,-80,75,80,202.29228,11.53277,7.18734,14.69253,07:14:04.70,14:36:20.90,1930.8,4.37691552734375,3.56750812718963,1,,,
13,SRC7,PKS 0319+12,032153+122114,SRC7_T,T,-100,-80,60,80,170.59078,-36.23739,3.31895,12.17551,03:21:53.11,12:21:14.00,1906.7,4.50724755859375,3.51276027335042,1,Emission feature in Absorption spectrum. Disgreement among different scans (3 first scans). Texp spectra: 3 first scans are diff from others. Will remove 3 first scans before doing average.,,
14,SRC8,4C +15.20,073035+151512,SRC8_R,R,-100,-80,60,80,203.41664,15.42295,7.46245,15.3592,07:30:35.41,15:15:12.60,1541.8,4.22868115234375,3.49755254584168,1,,,
15,SRC8,PKS 0528+134,053056+133155,SRC8_T,T,-100,-80,60,80,191.36789,-11.01173,5.46856,13.49499,05:30:56.44,13:31:55.30,1556.2,0,0,-1,"ABS is very bad, emission features in Absorption spectrum (and only 1 scan). Cannot do anything with this sightline.",,
16,SRC9,3C 167,064516+053132,SRC9_R,R,-100,-80,78,82,207.31318,1.15236,6.7102,5.57863,06:45:16.84,05:31:32.00,1333.5,4.75659521484375,4.09977858999571,1,,,
17,SRC9,4C +17.34,054046+172839,SRC9_T,T,-100,-80,60,80,189.21423,-6.93171,5.63095,17.45249,05:40:46.05,17:28:39.20,1473.8,4.4973056640625,3.95682592820836,1,,,
18,SRC10,4C +10.22,072551+103202,SRC10_R,R,-100,-80,79,82,207.31317,12.37267,7.38498,10.6342,07:25:51.27,10:32:02.30,1229.5,4.08576440429688,3.4275970225066,1,,,
19,SRC10,4C +21.17,042846+213331,SRC10_T,T,-100,-80,60,80,175.69557,-18.36372,4.4302,21.44913,04:28:46.64,21:33:31.40,1337.5,4.34972021484375,3.70133617567689,1,,,
20,SRC11,4C +08.21,063313+081318,SRC11_R,R,-100,-80,70,80,203.54395,-0.27181,6.50825,8.26057,06:33:13.01,08:13:18.90,1102.5,4.4624482421875,4.00549072585179,1,,,
21,SRC11,3C 115,042353+345144,SRC11_T,T,-109,-100,60,75,164.75887,-10.23539,4.34367,34.74717,04:23:53.25,34:51:44.80,1297,3.88101904296875,3.813873266421,1,,,
22,SRC12,4C +12.30,072832+121010,SRC12_R,R,-100,-80,78,82,206.09015,13.6731,7.42937,12.27281,07:28:32.88,12:10:10.50,1070.4,3.91787646484375,3.44280475001535,1,,,
23,SRC12,4C +11.15,032723+120835,SRC12_T,T,-100,-80,60,80,171.98257,-35.47725,3.41062,11.96996,03:27:23.11,12:08:35.80,1208.7,4.1719775390625,3.47626176213716,1,,,
24,SRC13,4C +14.23,072516+142513,SRC13_R,R,-100,-80,70,80,203.64413,13.90882,7.37417,14.52003,07:25:16.80,14:25:13.50,1066.7,3.86649731445313,3.49755254584168,1,,,
25,SRC13,3C 096,035900+143622,SRC13_T,T,-100,-80,60,80,176.26624,-28.26335,3.93676,14.46441,03:59:00.91,14:36:22.50,1204.1,4.36517236328125,3.64962982092913,1,,,
26,SRC14,4C +22.16,062250+220025,SRC14_R,R,-105,-97,60,80,190.16352,3.90994,6.33056,22.03307,06:22:50.64,22:00:25.60,1060.9,4.3389638671875,4.13323554410465,1,,,
27,SRC14,4C +26.18,054844+263600,SRC14_T,T,-100,-80,60,80,182.35542,-0.62084,5.76031,26.58444,05:48:44.28,26:36:00.30,1162.5,3.97829711914062,3.99636599652595,1,Absorption spectrum is saturated. This sightline will be excluded.,,
28,SRC15,4C +04.22,062152+043834,SRC15_R,R,-100,-80,75,82,205.41148,-4.4261,6.32048,4.66779,06:21:52.90,04:38:34.50,1056.8,4.3490205078125,3.91424436079932,1,,,
29,SRC15,-,-,SRC15_T,T,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,-1,No observation,,
30,SRC16,4C +14.20,064841+144020,SRC16_R,R,-100,-90,70,80,199.51658,6.03664,6.76398,14.72946,06:48:41.15,14:40:20.60,1032,4.16883203125,3.70741917385979,1,,,
