NAME    	 l		b	NH_CNM    	 sig_NH_CNM    	 NH_WNM    	 sig_NH_WNM    	 NH_total    	 sig_NH_total    	 NH_thin    	 	sig_NH_thin 
===========================================================================================================================================================================================
4C32.44    	67.2334715   81.0476953	0.168082    	0.0868977    	1.19266    	0.0313131    	1.36074    	0.092367300214814374    1.5774561642324347    	0.11810851672418482
3C286    	56.5240825   80.6746990	0.060785    	0.0241415    	1.28025    	0.0875542    	1.34104    	0.090821496247771305    1.4943685830592917    	0.1101433920526167
4C12.50    	347.2230416  70.1717745	0.362174    	0.110716    	2.00954    	0.0262394    	2.37171    	0.1137827137164034    	2.5518514781597426    	0.10453975538425186
3C273    	289.9508894  64.3599708	0.0483163    	0.190106    	2.32091    	0.0271189    	2.36923    	0.19203090203864132    	2.5481879593427208    	0.052998484184862228
3C298    	352.1601793  60.6665888	0.0615625    	0.369444    	2.32603    	0.0850673    	2.38759    	0.37911167016627889    	2.5656861102472348    	0.096915777168477032
4C04.51    	7.2923228    47.7469522	0.235234    	0.0608361    	4.31427    	0.112606    	4.5495    	0.12798903305222878    	4.6706299275592844    	0.10740804877056571
3C237    	232.1171115  46.6273394	0.169036    	0.19822    	2.42647    	0.111899    	2.5955    	0.22762380798610549    	2.6140208567119259    	0.069968616027321504
3C225a    	219.866213   44.024933	1.19202    	0.296533    	3.05058    	0.0595242    	4.2426    	0.30244804669367575    	4.1901619522467124    	0.1057477592998789
3C225b		220.010149   44.008391 	0.982868    	0.175959    	3.57188    	0.114765    	4.55475    	0.21007775556620684    	4.1710456648049945    	0.093897040454785113
3C345    	63.4549579   40.9489326	0.000323331    	0.000218287    	1.00686    	0.128517    	1.00719    	0.12851677001576936    	1.039709605157723    	0.020471044405208069
3C327.1    	12.1820722   37.0047280	1.7617    	1.17042    	6.96202    	0.106872    	8.72372    	1.1752897941164002    	8.2785982420417632    	0.17161278046245101
3C147		161.6864007  10.2984233	7.437    	1.78908    	13.1516    	0.781538    	20.5886    	1.9523334294563286    	19.126246165026767    	0.29877450045196191
4C33.48    	66.3886898    8.3712548	1.53675    	3.00087    	14.2212    	0.480889    	15.758    	3.039156536909382    	15.362720329132676    	0.19016399707369497
B2050    	78.8581121   -5.1237721 3.00289    	2.02378    	30.8553    	1.3301    	33.8582    	2.4217462997132659    	27.453912897869731    	0.086860412869221637
PKS0531		186.7617373  -7.1076205	8.38891    	9.61051    	20.4524    	1.4837    	28.8413    	9.7243675909896563    	28.270902487441845    	0.56801205289630174
3C111		161.6755593  -8.8197111	3.98901    	3.77989    	32.4443    	2.29106    	36.4333    	4.420013384745352    	29.282292226553828    	0.20452523648891427
3C138		187.4049922 -11.3434214	6.00811    	2.83434    	20.4182    	0.582513    	26.4263    	2.8935799152893944    	21.77884340079309    	0.34570136647701699
3C433    	74.476428   -17.694500	1.14895    	2.0948    	9.2335    	0.126371    	10.3825    	2.0986065783618302    	9.8922321931216004    	0.21866992653834569
3C48		133.9625773 -28.7193534 0.703757    	0.356492    	4.25084    	0.193991    	4.95459    	0.4058560282132167    	5.1210005244649919    	0.16221239323236136
4C16.09		166.6357271 -33.5958694	3.26625    	1.10383    	8.82905    	0.244875    	12.0953    	1.1306661420918525    	11.360415165268037    	0.29694247070349777
J2232    	77.4378717  -38.5824495	1.21187    	0.368755    	4.291    	0.168207    	5.50287    	0.40530698503802154    	5.6860742230532502    	0.21568439976718476
3C78		174.8581271 -44.5133457	3.81288    	1.90965    	9.93095    	0.268498    	13.7438    	1.9284305500239569    	11.036886405633778    	0.4680443073097792
3C459    	83.0397078  -51.2849859	1.16671    	0.492812    	5.1199    	0.0408748    	6.28661    	0.49450413407574723    	6.4370209974058694    	0.26241123311676456
3C154		185.5940678   4.0066381	9.74711    	14.9369    	36.1932    	0.492294    	45.9403    	14.94499811536445    	39.922623204666444    	0.31872976946902171
3C409    	63.3980666   -6.1216013	5.33199    	3.48824    	26.3613    	0.549035    	31.6933    	3.5311836028321864    	28.378515627227969    	0.28342717876534279
3C410    	69.2117279   -3.7690792	30.3922    	6.64148    	29.2931    	0.814182    	59.6853    	6.6911959957349429    	48.343341269790315    	0.68580190408620512
3C133		177.7259300  -9.9122088	9.75913    	4.02118    	26.2217    	0.460394    	35.9809    	4.0474543641124017    	29.4303098018142    	0.47393405683724776
3C120		190.3729102 -27.3967909	10.8604    	2.24331    	11.3644    	0.263217    	22.2248    	2.2586972224459818    	11.743417816658683    	0.12830221289605656
3C123		170.5817288 -11.6609627	5.14661    	4.4112    	19.4051    	1.9026    	24.5517    	4.8040212731963514    	19.286331820144003    	0.43439998433416738
3C454.3    	86.1110374  -38.1837815	1.989    	15.7389    	5.91512    	0.62985    	7.90413    	15.751530411294326    	8.1989963089155946    	0.25203755217279084
