#,Name,l,b,N(HI),N(HI)er,N*(HI),N*(HI)er,CNM,CNMer,WNM,WNMer
-,-,[deg],[deg],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2],[1e20 cm-2]
0,3C33,129.4481,-49.3244,3.2508,0.04902448367907611,3.2192459999999996,0.07752,1.9512,0.0272,1.2995999999999999,0.04078676255845762
1,3C18,118.6218,-52.7266,6.9235,1.0991735167843155,5.901323999999999,0.03591,6.0685,1.0973087168158284,0.855,0.064
2,3C141.0,174.5324,-1.3112,60.1702,1.7005769579763215,46.629078,0.611382,27.0532,1.4356320872702726,33.117,0.9115495049639377
3,3C142.1,197.6157,-14.5115,25.1082,2.6275406828439403,19.637639999999998,0.8277539999999999,9.307800000000002,2.5605587983875706,15.8004,0.5894986683615154
4,3C138,187.4052,-11.3437,22.8959,1.1329803352221077,19.930164,0.27348599999999995,12.4649,1.0327096348925966,10.431,0.4659991952782751
5,3C75-2,170.2958,-44.9192,9.4482,0.24123100961526486,8.868516,0.9790319999999999,2.5056000000000003,0.2093190387900728,6.9426,0.1199080481035364
6,3C75-1,170.2162,-44.9112,9.159699999999999,0.2304606257042621,8.582261999999998,1.1362379999999999,2.4109,0.20386360636464762,6.748799999999999,0.10747897468807562
7,3C409,63.3985,-6.1223,29.627499999999998,1.2784059136283747,24.164807999999997,0.25718399999999997,7.1239,1.1093645703735087,22.5036,0.6353203365232377
8,3C33-1,129.4392,-49.3432,3.2662999999999998,0.13549202928585874,3.179916,0.955662,2.2859,0.1047,0.9803999999999999,0.086
9,3C79,164.1487,-34.4565,10.862,1.1756196791479803,9.830219999999999,0.7761119999999999,8.057599999999999,0.8825950770313644,2.8044,0.7766
10,3C78,174.8581,-44.513,11.6925,0.5340277708134662,10.317912,0.20451599999999998,6.8475,0.5176603326506677,4.845,0.1312
11,3C98-1,179.8593,-31.0859,11.9284,0.3868231120292581,11.155241999999998,0.8390399999999999,6.9352,0.3658987154937825,4.9932,0.1255
12,3C75,170.2558,-44.9111,9.066299999999998,0.20069591425836253,8.491746,0.09097199999999998,2.9103000000000003,0.17825361146411592,6.156,0.09221984602025748
13,T0526+24,181.3551,-5.1933,110.0846,74.13050472545024,35.40897,0.9223739999999999,80.0684,74.11339402456211,30.016199999999998,1.592657216729325
14,3C133,177.7258,-9.9125,32.621199999999995,1.726893641774154,26.884961999999998,0.12015599999999999,10.7902,1.6039651710682499,21.831,0.6398885684242218
15,3C132,178.8598,-12.5219,27.212899999999998,1.4648544193878108,22.825193999999996,0.197904,8.7905,1.3461968541041835,18.4224,0.577540041901858
16,3C131,171.4368,-7.7967,32.5775,1.8727558783781724,25.46874,0.5506199999999999,12.8897,1.6624060665192486,19.687799999999996,0.8623344188886352
17,3C310,38.5004,60.2098,4.2897,0.10878092663697989,3.969023999999999,0.06634799999999999,1.3256999999999999,0.08834296802802133,2.9639999999999995,0.06347290760631658
18,3C315,39.3605,58.303,5.478899999999999,0.435790350971657,4.688363999999999,0.049248,2.5719000000000003,0.23535150307571862,2.907,0.3667736359118523
19,3C109,181.828,-27.7769,23.7438,1.1381730140888071,15.930587999999998,0.671916,17.6904,0.8810896038428782,6.0534,0.7204990770292492
20,3C234,200.205,52.7049,1.8354,0.0498663213000518,1.867662,1.149576,0.0,0.0,1.8354,0.0498663213000518
21,3C236,190.064,53.9808,1.3794,0.043932334333609,1.347138,1.2298319999999998,0.0,0.0,1.3794,0.043932334333609
