Source name,R.A (J2000),DEC (J2000),l(deg),b(deg),Flux(1.4GHz) in Jy,Tsky (K)
J034053+073525 (4C+07.13) ,03:40:53.73,07:35:25.40,178.87,-36.27,1.01,4.07
J032153+122114 (PKS0319+12) ,03:21:53.11,12:21:14.00,170.59,-36.24,1.91,4.51
J032723+120835 (4C+11.15) ,03:27:23.11,12:08:35.80,171.98,-35.48,1.21,4.17
J031857+162833 (4C+16.09) ,03:18:57.77,16:28:33.10,166.64,-33.6,8.03,6.93
J033626+130233 (3C090) ,03:36:26.56,13:02:33.20,173.15,-33.29,1.99,4.67
J035613+130535 ,03:56:13.81,13:05:35.80,177.02,-29.78,0.89,4.14
J035900+143622 (3C096) ,03:59:00.91,14:36:22.50,176.27,-28.26,1.2,4.37
J042725+085330 (4C+08.15) ,04:27:25.05,08:53:30.30,186.21,-26.51,0.94,4.08
J032504+244445 (4C+24.06) ,03:25:04.35,24:44:46,161.92,-26.26,0.81,4.13
J035633+190034 (4C+18.11) ,03:56:33.46,19:00:34.60,172.23,-25.66,1.05,4.15
J041140+171405 (4C+17.23) ,04:11:40.77,17:14:05.10,176.36,-24.24,1.03,4.26
J042022+175355 (3C114) ,04:20:22.17,17:53:55.20,177.3,-22.24,1.11,4.23
J042524+175525 (4C+17.25) ,04:25:24.43,17:55:25.30,178.11,-21.31,0.88,4.16
J042756+175242 (4C+17.26) ,04:27:56.98,17:52:42.80,178.56,-20.88,1.01,4.22
J044907+112128 (PKS0446+11) ,04:49:07.65,11:21:28.20,187.43,-20.74,0.85,4.16
J034008+320901 (3C092) ,03:40:08.54,32:09:01,159.74,-18.41,1.61,3.95
J042846+213331 (4C+21.17) ,04:28:46.64,21:33:31.40,175.7,-18.36,1.34,4.35
J040442+290215 (4C+28.11) ,04:04:42.82,29:02:16,166.06,-17.22,0.95,3.69
J052424+074957 (4C+07.16) ,05:24:24.04,07:49:57.10,195.51,-15.35,0.82,4.25
J051240+151723 (PKS0509+152) ,05:12:40.99,15:17:23.80,187.41,-13.79,0.97,4.11
J053239+073243 ,05:32:39.01,07:32:43.50,196.84,-13.74,2.73,4.96
J051930+142829 (4C+14.14) ,05:19:30.95,14:28:29.00,189.04,-12.85,0.86,4.15
J053450+100430 (4C+09.21) ,05:34:50.82,10:04:30.30,194.89,-11.98,1.06,4.62
J041236+353543 (4C+35.07) ,04:12:36.28,35:35:43,162.58,-11.36,0.86,3.93
J052109+163822 (3C138) ,05:21:09.93,16:38:22.20,187.41,-11.34,8.6,7.59
J053056+133155 (PKS0528+134) ,05:30:56.44,13:31:55.30,191.37,-11.01,1.56,4.64
J042353+345144 (3C115) ,04:23:53.25,34:51:45,164.76,-10.24,1.3,3.88
J060536+014512 (4C+01.17) ,06:05:36.56,01:45:12.70,206.08,-9.37,0.61,4.07
J045956+270602 (4C+27.14) ,04:59:56.09,27:06:03,175.83,-9.36,0.93,3.9
J051740+235110 (4C+23.14) ,05:17:40.81,23:51:10.20,180.86,-8.01,0.97,4.32
J045323+312924 (3C131) ,04:53:23.34,31:29:24,171.44,-7.8,2.87,4.04
J053557+175600 (4C+17.33) ,05:35:57.42,17:56:00.70,188.22,-7.67,0.83,4.23
J053444+192721 (PKS0531+19) ,05:34:44.51,19:27:21.70,186.76,-7.11,7.02,6.48
J054046+172839 (4C+17.34) ,05:40:46.05,17:28:39.20,189.21,-6.93,1.47,4.5
J050929+295755 (4C+29.16) ,05:09:29.51,29:57:56,174.77,-5.97,1.06,4.03
J061900+050630 ,06:19:00.21,05:06:30.80,204.66,-4.84,0.69,4.19
J062812+010926 (4C+01.19) ,06:28:12.55,01:09:26.00,209.24,-4.64,0.94,4.27
J062152+043834 (4C+04.22) ,06:21:52.90,04:38:34.50,205.41,-4.43,1.06,4.35
J062551+043540 (4C+04.24) ,06:25:51.89,04:35:40.20,205.92,-3.57,0.81,4.28
J053425+273223 (B0531+2730) ,05:34:25.73,27:32:24,179.87,-2.83,1.04,4.25
J061622+115553 ,06:16:22.32,11:55:53.90,198.33,-2.2,0.83,4.41
J055955+190852 (4C+19.18) ,05:59:55.70,19:08:52.50,190.09,-2.17,1.03,4.45
J060157+192216 (4C+19.19) ,06:01:57.97,19:22:16.30,190.13,-1.64,0.8,4.43
J060933+162207 (4C+16.15)\tablenotemark{**} ,06:09:33.51,16:22:07.00,193.64,-1.53,0.73,4.58
J061857+133631 (4C+13.32) ,06:18:57.50,13:36:31.50,197.15,-0.85,1.96,4.86
J054844+263600 (4C+26.18)\tablenotemark{**} ,05:48:44.28,26:36:00,182.36,-0.62,1.16,3.98
J054211+290147 (4C+29.19) ,05:42:11.81,29:01:48,179.53,-0.59,0.98,4.13
J063313+081318 (4C+08.21) ,06:33:13.01,08:13:18.90,203.54,-0.27,1.1,4.46
J060351+215937 (4C+22.12) ,06:03:51.56,21:59:37.50,188.07,0.04,2.77,5.15
J062141+143211 (3C158) ,06:21:41.09,14:32:11.90,196.64,0.17,2.24,4.86
J063215+102201 (4C+10.20) ,06:32:15.34,10:22:01.10,201.53,0.51,2.38,5
J062545+144019 (4C+14.18) ,06:25:45.97,14:40:19.70,196.98,1.1,2.44,5.01
J064516+053132 (3C167) ,06:45:16.84,05:31:32.00,207.31,1.15,1.33,4.76
J053752+361112 (4C+36.10) ,05:37:52.39,36:11:13,172.98,2.44,1.04,4.34
J062019+210229 ,06:20:19.54,21:02:29.70,190.74,2.94,0.9,4.33
J062250+220025 (4C+22.16) ,06:22:50.64,22:00:25.60,190.16,3.91,1.06,4.34
J065601+083407 (4C+08.23) ,06:56:01.03,08:34:07.10,205.81,4.91,0.68,4.12
J063451+190940 ,06:34:51.38,19:09:40.90,193.99,5.1,0.84,4.31
J065917+081331 ,06:59:17.97,08:13:31.80,206.48,5.48,0.91,4.12
J065548+104258 (4C+10.21) ,06:55:48.36,10:42:58.80,203.85,5.82,0.91,4.15
J064841+144020 (4C+14.20) ,06:48:41.15,14:40:20.60,199.52,6.04,1.03,4.17
J071523+031105 (4C+03.12) ,07:15:23.75,03:11:05.00,212.82,6.78,0.67,3.97
J071004+061705 (4C+06.28) ,07:10:04.83,06:17:05.40,209.43,7,0.58,4.05
J071924+021035 ,07:19:24.88,02:10:35.80,214.18,7.22,0.66,3.87
J064524+212145 (3C166) ,06:45:24.08,21:21:45.70,193.12,8.3,2.59,4.8
J071028+091954 (4C+09.27) ,07:10:28.52,09:19:54.30,206.72,8.44,1.02,4.09
J072140+053050 (PKS0719+056) ,07:21:40.87,05:30:50.90,211.43,9.23,0.83,4.01
J070001+170922 ,07:00:01.52,17:09:22.30,198.47,9.58,0.65,4.09
J065937+211742 (4C+21.22) ,06:59:37.81,21:17:42.20,194.63,11.26,0.57,3.98
J071404+143620 (3C175.1) ,07:14:04.70,14:36:20.90,202.29,11.53,1.93,4.38
J072551+103202 (4C+10.22) ,07:25:51.27,10:32:02.30,207.31,12.37,1.23,4.09
J070937+195443 (4C+19.26) ,07:09:37.27,19:54:43.00,196.91,12.8,0.69,4.03
J072525+123624 (PKS0722+12) ,07:25:25.60,12:36:24.60,205.35,13.17,0.61,3.77
J072832+121010 (4C+12.30) ,07:28:32.88,12:10:10.50,206.09,13.67,1.07,3.92
J072516+142513 (4C+14.23) ,07:25:16.80,14:25:13.50,203.64,13.91,1.07,3.87
J072810+143736 (3C181) ,07:28:10.26,14:37:36.00,203.75,14.63,2.3,4.53
J071810+201002 (PKS0715+20) ,07:18:10.64,20:10:02.70,197.52,14.74,0.73,3.98
J073035+151512 (4C+15.20) ,07:30:35.41,15:15:12.60,203.42,15.42,1.54,4.23
J073037+173951 (4C+17.41) ,07:30:37.09,17:39:51.50,201.13,16.42,0.69,3.94
